id,type,address,price,coords,contamination,distanceToDangerZone,distanceToMedianJobLocation,Zone,GreenConc,lt,lg,priceLogScaled,totalScore
link_ad_83897872,Monolocale,"piazzale Biancamano 2, Moscova, Milano",1000,"[45.47823899999999, 9.1819484]",0.1797265410714317,3.233712947617959,1.518805977105694,1.0,0.1146297714581178,45.47823899999999,9.1819484,0.2735714773534035,6.881193617727737
link_ad_83535941,Appartamento,"corso Magenta, San Vittore, Milano",5000,"[45.4657096, 9.1717594]",0.1569716843223432,1.8184434063462824,1.3993005577094657,1.0,0.1146297714581178,45.4657096,9.1717594,0.9087847765801125,-2.6599192040376063
link_ad_83588673,Appartamento,"via Archimede, Plebisciti - Susa, Milano",3200,"[45.4681442, 9.2225773]",0.2512862442381447,3.113558288281632,2.577937782690406,3.0,0.1217181679550246,45.4681442,9.2225773,0.732644087540308,-1.6329582911610094
link_ad_81088197,Trilocale,"via Sansovino 3, Città Studi, Milano",1550,"[45.4793396, 9.217790599999999]",0.1440290641767205,3.057725342418409,2.6634660981586,3.0,0.1217181679550246,45.4793396,9.2177906,0.4465420271512053,-0.3729683955654608
link_ad_83000949,Bilocale,"via Carlo Imbonati 64, Dergano, Milano",1300,"[45.50395839999999, 9.182326399999999]",0.3596692270948551,1.781589464162964,4.291825618893043,9.0,0.1741331666666666,45.50395839999999,9.1823264,0.377121461322361,-15.36446838240314
link_ad_73880710,Trilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",3800,"[45.4772289, 9.1842828]",0.1807623657368822,3.158499115867489,1.3488600362162635,1.0,0.1146297714581178,45.4772289,9.1842828,0.800469983669625,4.715182508514179
link_ad_82847513,Appartamento,"viale Coni Zugna, Dezza, Milano",2750,"[45.4596923, 9.1636455]",0.1246615655109053,1.4467951883637042,2.1394701488524044,7.0,0.1689400354179961,45.4596923,9.1636455,0.6728303413602772,-6.606134159709432
link_ad_73917072,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2500,"[45.4772289, 9.1842828]",0.1807623657368822,3.158499115867489,1.3488600362162635,1.0,0.1146297714581178,45.4772289,9.1842828,0.635213299226709,5.541465930728759
link_ad_84158212,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2100,"[45.4772289, 9.1842828]",0.1807623657368822,3.158499115867489,1.3488600362162635,1.0,0.1146297714581178,45.4772289,9.1842828,0.5663994671279693,5.885535091222458
link_ad_83692733,Quadrilocale,"via Archimede, Indipendenza, Milano",3200,"[45.4655042, 9.2160423]",0.2832355669379467,2.8892450351529244,2.0542317489959108,4.0,0.1018567536992841,45.4655042,9.2160423,0.732644087540308,-0.39504807310978407
link_ad_82947181,Bilocale,"ottimo stato, 11, Duomo, Milano",2400,"[45.4643653, 9.1885593]",0.2317617264925502,1.9482747140704333,0.1740034363526328,1.0,0.1146297714581178,45.4643653,9.1885593,0.6191016657055322,5.19018828488918
link_ad_82945583,Monolocale,"ottimo stato, nono piano, Duomo, Milano",2000,"[45.4640976, 9.1919265]",0.2453194787958637,2.0767558705292246,0.2493760239896623,1.0,0.1146297714581178,45.4640976,9.1919265,0.5471429547068065,5.747735922475048
link_ad_83770907,Bilocale,"viale Legioni Romane 8, Bande Nere, Milano",1050,"[45.46091029999999, 9.1343716]",-0.1048087712697452,2.0790467661290344,4.348038674351975,6.0,0.1162834524070022,45.46091029999999,9.1343716,0.29282798977456626,-11.703638371603798
link_ad_82869489,Bilocale,"corso Magenta, San Vittore, Milano",1500,"[45.4657096, 9.1717594]",0.1569716843223432,1.8184434063462824,1.3993005577094657,1.0,0.1146297714581178,45.4657096,9.1717594,0.43360053287203115,-0.28399798549719923
link_ad_81424435,Bilocale,"via Pinamonte da Vimercate, Moscova, Milano",1250,"[45.4782881, 9.1823255]",0.1800518271193141,3.2439762312166653,1.512388933711304,1.0,0.1146297714581178,45.4782881,9.1823255,0.3616418218733055,6.522617099854296
link_ad_81740324,Bilocale,"via Fratelli Gabba, Brera, Milano",4500,"[45.4705638, 9.1900589]",0.2020210995979141,2.6076249348709437,0.5405325918452584,1.0,0.1146297714581178,45.4705638,9.1900589,0.8672010657440623,5.562499745709134
link_ad_82557099,Trilocale,"via Giorgio Washington, Washington, Milano",1800,"[45.4599657, 9.1549035]",0.0618642995686968,1.965137663217812,2.788074855732347,7.0,0.1689400354179961,45.4599657,9.1549035,0.5055592438707568,-6.107103502679964
link_ad_82509662,Trilocale,"via Cardinale Giovanni Cagliero, Maggiolina, Milano",1200,"[45.4964591, 9.2031314]",0.1798249842104269,2.848082608209796,3.5759409028360265,2.0,0.0848328783783783,45.4964591,9.2031314,0.3455301883521291,-5.841902944052041
link_ad_84056456,Trilocale,"via Fara 16, Centrale, Milano",2400,"[45.4834767, 9.198450800000002]",0.1718755788024282,3.7863092867951975,2.0901073968901613,2.0,0.0848328783783783,45.4834767,9.198450800000002,0.6191016657055322,4.950287618877271
link_ad_82177848,Trilocale,"via Lorenzo mascheroni 18, Pagano, Milano",2350,"[45.4702664, 9.1653711]",0.1284161623771069,2.429976271498281,1.96391946183876,1.0,0.1146297714581178,45.4702664,9.1653711,0.610792301664083,-0.7926094146177562
link_ad_83171835,Bilocale,"via Cucchiari 21, Cenisio, Milano",1650,"[45.4900587, 9.1672878]",0.2486739131418289,1.9205303425984832,3.222589914772417,8.0,0.1496586323777403,45.4900587,9.1672878,0.4712175750055998,-9.361462139718112
