id,type,address,price,coords,contamination,distanceToDangerZone,distanceToMedianJobLocation,Zone,GreenConc,lt,lg
link_ad_83897872,Monolocale,"piazzale Biancamano 2, Moscova, Milano",1000,"[45.47823899999999, 9.1819484]",0.1797265410714317,3.233712947617959,1.5188059771056939,1.0,0.11462977145811785,45.47823899999999,9.1819484
link_ad_83535941,Appartamento,"corso Magenta, San Vittore, Milano",5000,"[45.4657096, 9.1717594]",0.1569716843223432,1.8184434063462824,1.3993005577094655,1.0,0.11462977145811785,45.4657096,9.1717594
link_ad_83588673,Appartamento,"via Archimede, Plebisciti - Susa, Milano",3200,"[45.4681442, 9.2225773]",0.2512862442381447,3.1135582882816317,2.5779377826904066,3.0,0.1217181679550246,45.4681442,9.2225773
link_ad_81088197,Trilocale,"via Sansovino 3, Città Studi, Milano",1550,"[45.4793396, 9.217790599999999]",0.14402906417672057,3.057725342418409,2.6634660981586,3.0,0.1217181679550246,45.4793396,9.217790599999999
link_ad_83000949,Bilocale,"via Carlo Imbonati 64, Dergano, Milano",1300,"[45.50395839999999, 9.182326399999999]",0.35966922709485516,1.781589464162964,4.291825618893043,9.0,0.17413316666666664,45.50395839999999,9.182326399999999
link_ad_73880710,Trilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",3800,"[45.4772289, 9.1842828]",0.1807623657368822,3.158499115867489,1.3488600362162635,1.0,0.11462977145811785,45.4772289,9.1842828
link_ad_82847513,Appartamento,"viale Coni Zugna, Dezza, Milano",2750,"[45.4596923, 9.1636455]",0.12466156551090535,1.4467951883637042,2.1394701488524044,7.0,0.16894003541799618,45.4596923,9.1636455
link_ad_73917072,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2500,"[45.4772289, 9.1842828]",0.1807623657368822,3.158499115867489,1.3488600362162635,1.0,0.11462977145811785,45.4772289,9.1842828
link_ad_84158212,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2100,"[45.4772289, 9.1842828]",0.1807623657368822,3.158499115867489,1.3488600362162635,1.0,0.11462977145811785,45.4772289,9.1842828
link_ad_83692733,Quadrilocale,"via Archimede, Indipendenza, Milano",3200,"[45.4655042, 9.2160423]",0.2832355669379467,2.8892450351529244,2.0542317489959108,4.0,0.1018567536992841,45.4655042,9.2160423
link_ad_82947181,Bilocale,"ottimo stato, 11, Duomo, Milano",2400,"[45.4643653, 9.1885593]",0.23176172649255022,1.9482747140704335,0.17400343635263285,1.0,0.11462977145811785,45.4643653,9.1885593
link_ad_82945583,Monolocale,"ottimo stato, nono piano, Duomo, Milano",2000,"[45.4640976, 9.1919265]",0.2453194787958637,2.0767558705292246,0.24937602398966238,1.0,0.11462977145811785,45.4640976,9.1919265
link_ad_83770907,Bilocale,"viale Legioni Romane 8, Bande Nere, Milano",1050,"[45.46091029999999, 9.1343716]",-0.1048087712697452,2.0790467661290344,4.348038674351975,6.0,0.11628345240700223,45.46091029999999,9.1343716
link_ad_82869489,Bilocale,"corso Magenta, San Vittore, Milano",1500,"[45.4657096, 9.1717594]",0.1569716843223432,1.8184434063462824,1.3993005577094655,1.0,0.11462977145811785,45.4657096,9.1717594
link_ad_81424435,Bilocale,"via Pinamonte da Vimercate, Moscova, Milano",1250,"[45.4782881, 9.1823255]",0.1800518271193141,3.2439762312166653,1.5123889337113041,1.0,0.11462977145811785,45.4782881,9.1823255
link_ad_81740324,Bilocale,"via Fratelli Gabba, Brera, Milano",4500,"[45.4705638, 9.1900589]",0.20202109959791414,2.6076249348709433,0.5405325918452584,1.0,0.11462977145811785,45.4705638,9.1900589
link_ad_82557099,Trilocale,"via Giorgio Washington, Washington, Milano",1800,"[45.4599657, 9.1549035]",0.06186429956869688,1.9651376632178121,2.788074855732347,7.0,0.16894003541799618,45.4599657,9.1549035
link_ad_82509662,Trilocale,"via Cardinale Giovanni Cagliero, Maggiolina, Milano",1200,"[45.4964591, 9.2031314]",0.17982498421042692,2.8480826082097956,3.5759409028360265,2.0,0.08483287837837838,45.4964591,9.2031314
link_ad_84056456,Trilocale,"via Fara 16, Centrale, Milano",2400,"[45.4834767, 9.198450800000002]",0.1718755788024282,3.7863092867951975,2.0901073968901613,2.0,0.08483287837837838,45.4834767,9.198450800000002
link_ad_82177848,Trilocale,"via Lorenzo mascheroni 18, Pagano, Milano",2350,"[45.4702664, 9.1653711]",0.12841616237710696,2.429976271498281,1.96391946183876,1.0,0.11462977145811785,45.4702664,9.1653711
link_ad_83171835,Bilocale,"via Cucchiari 21, Cenisio, Milano",1650,"[45.4900587, 9.1672878]",0.24867391314182896,1.9205303425984832,3.2225899147724175,8.0,0.14965863237774032,45.4900587,9.1672878
link_ad_83565213,Bilocale,"via Ettore Ponti, Barona, Milano",900,"[45.442102, 9.154895699999999]",0.14254116486699786,1.7901259326630683,3.7764682134817824,6.0,0.11628345240700223,45.442102,9.154895699999999
link_ad_71128948,Trilocale,"via Sant'Orsola, Carrobbio, Milano",3167,"[45.4628098, 9.181179]",0.21131074021104723,1.5463985440697745,0.7387826235123458,1.0,0.11462977145811785,45.4628098,9.181179
link_ad_83291261,Trilocale,"via Gerolamo Cardano, Melchiorre Gioia, Milano",2350,"[45.4858416, 9.1969157]",0.1759059222677024,3.6969739700611406,2.308198690303815,9.0,0.17413316666666664,45.4858416,9.1969157
link_ad_83231537,Bilocale,"via Bramante 29, Paolo Sarpi, Milano",1400,"[45.48147780000001, 9.1786605]",0.18585380529111717,3.148830983352212,1.9533885358782568,1.0,0.11462977145811785,45.48147780000001,9.1786605
